Player,PID,Nationality,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Obed McCoy,90403,80020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50001
Odean Smith,90404,80020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50009
Oshane Thomas,90401,80020,0,0,0,0,0,0,0,0,0,0,0,50001,50001,50001,0
Owais Shah,90402,80004,0,50008,50004,50013,50001,50001,0,50006,50006,0,0,0,0,0,0
Padmanabhan Prasanth,90413,80006,0,0,0,50013,0,50006,0,50006,0,0,0,0,0,0,0
Paidikalva Vijaykumar,90167,80006,50002,50002,0,0,0,0,0,0,0,0,0,0,0,0,0
Palani Amarnath,90405,80006,50003,50003,0,0,0,0,0,0,0,0,0,0,0,0,0
Pankaj Dharmani,90836,80006,50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pankaj Jaiswal,90837,80006,0,0,0,0,0,0,0,0,0,0,0,50005,0,0,50006
Pankaj Singh,90420,80006,50001,50010,50010,50001,50001,50010,0,0,0,0,0,0,0,0,0
Parag More,90838,80006,50001,50001,0,0,0,0,0,0,0,0,0,0,0,0,0
Paras Dogra,90408,80006,0,50001,0,50009,50009,0,0,0,50012,0,0,0,0,0,0
Pardeep Sahu,90415,80006,0,0,0,0,0,0,0,50001,50009,50009,50009,0,0,0,0
Parthiv Patel,90418,80006,50003,50003,50003,50013,50002,50006,50010,50005,50005,50005,50010,50010,50010,0,0
Parvez Rasool,90421,80006,0,0,0,0,0,50014,50006,50006,50010,0,0,0,0,50009,0
Parvinder Awana,90406,80006,0,0,50008,0,50009,50009,50009,50009,0,0,0,0,0,0,0
Pat Cummins,90426,80002,0,0,0,0,0,0,50004,50004,0,50008,50005,0,50004,50004,50004
Paul Collingwood,90424,80004,0,50008,50008,50001,50001,0,0,0,0,0,0,0,0,0,0
Paul Valthaty,90423,80006,0,50001,0,50009,50009,50009,50010,50010,0,0,0,0,0,0,0
Paul Van Meekeren,90839,80010,0,0,0,0,0,0,0,0,50005,0,0,0,0,0,0
Pavan Deshpande,90840,80006,0,0,0,0,0,0,0,0,0,0,50010,0,50010,50010,0
Pawan Negi,90411,80006,0,0,0,0,50008,50008,50003,50003,50008,50010,50010,50010,50010,50004,50006
Pawan Suyal,90417,80006,0,0,0,50005,50005,50005,50005,50005,50008,0,0,0,0,50001,0
Peter Handscomb,90435,80002,0,0,0,0,0,0,0,0,50015,0,0,0,0,0,0
Phillip Hughes,90841,80002,0,0,0,0,0,50005,0,0,0,0,0,0,0,0,0
Pieter Seelaar,90842,80010,0,0,0,0,0,0,0,0,0,50009,0,0,0,0,0
Pinal Shah,90434,80006,50005,50005,50005,50001,50001,50009,0,0,0,0,0,0,0,0,0
Piyush Chawla,90431,80006,50009,50009,50009,50009,50009,50009,50004,50004,50004,50004,50004,50004,50003,50005,0
PM Sarvesh Kumar,90429,80006,50002,50002,0,0,0,0,0,0,0,0,0,0,0,0,0
Prabhsimran Singh,90416,80006,0,0,0,0,0,0,0,0,0,0,0,50009,50009,50009,50009
Pradeep Sangwan,90427,80006,50008,50008,50008,50004,50004,50004,0,0,50012,50012,50005,0,0,0,50007
Pragyan Ojha,90432,80006,50002,50002,50002,50002,50005,50005,50005,50005,0,0,0,0,0,0,0
Prasanth Parameswaran,90412,80006,0,0,0,50013,50010,50010,50006,0,0,0,0,0,0,0,0
Prashant Chopra,90407,80006,0,0,0,0,0,0,0,0,0,0,50001,50001,0,50009,0
Prashant Naik,90398,80006,0,0,0,50008,50008,0,0,0,0,0,0,0,0,0,0
Prashant Solanki,90425,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50003
Prasidh Krishna,90330,80006,0,0,0,0,0,0,0,0,0,0,50004,50004,50004,50004,50001
Pratham Singh,90843,80006,0,0,0,0,0,0,0,0,0,50012,0,0,0,0,50004
Pratyush Singh,90844,80006,0,0,0,0,0,0,0,50003,50008,50008,50009,0,0,50001,50006
Praveen Dubey,90409,80006,0,0,0,0,0,0,0,0,50010,50010,0,0,50008,50008,0
Praveen Kumar,90410,80006,50010,50010,50010,50009,50009,50009,50005,50006,50012,50012,50003,0,0,0,0
Pravin Tambe,90436,80006,0,0,0,0,0,50001,50001,50001,50012,50006,0,0,50004,0,0
Prayas Ray Barman,90414,80006,0,0,0,0,0,0,0,0,0,0,0,50010,0,0,0
Prerak Mankad,90430,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,50010,50009
Preston Mommsen,90845,80014,0,0,0,0,0,0,0,0,50009,0,0,0,0,0,0
Prince Balwant Rai Singh,90846,80006,0,0,0,0,0,0,0,0,0,0,0,0,50005,0,0
Prithvi Raj,90641,80006,0,0,0,0,0,0,0,0,0,0,0,50004,50006,0,50005
Prithvi Shaw,90433,80006,0,0,0,0,0,0,0,0,0,0,50008,50008,50008,50008,50008
Priyam Garg,90428,80006,0,0,0,0,0,0,0,0,0,0,0,0,50006,50006,50006
Priyank Panchal,90847,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50007
Puneet Bisht,90848,80006,0,0,0,0,50008,50008,0,0,0,0,0,0,0,0,0
Pushkaraj Chavan,90849,80006,0,50001,0,0,0,0,0,0,0,0,0,0,0,0,0
Quinton de Kock,90439,80016,0,0,0,0,0,50006,50008,50008,50008,50008,50010,50005,50005,50005,50011
R. Karthikeyan,90850,80006,0,0,0,0,0,50003,0,0,0,0,0,0,0,0,0
R. P. Singh,90480,80006,50002,50002,50002,50013,50005,50010,0,0,50015,0,0,0,0,0,0
Rahil Shaikh,90460,80006,0,50005,0,0,0,0,0,0,0,0,0,0,0,0,0
Rahul Buddhi,90851,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50005
Rahul Chahar,90466,80006,0,0,0,0,0,0,0,0,0,50015,50005,50005,50005,50005,50009
Rahul Dravid,90444,80006,50010,50010,50010,50001,50001,50001,0,0,0,0,0,0,0,0,0
Rahul Sharma,90453,80006,0,0,50002,50014,50014,50014,50008,50003,0,0,0,50004,50004,50001,0
Rahul Shukla,90455,80006,0,0,50005,50005,50005,50001,50008,0,0,0,0,0,0,0,0
Rahul Tewatia,90456,80006,0,0,0,0,0,0,50001,50001,0,50009,50008,50008,50001,50001,50007
Rahul Tripathi,90461,80006,0,0,0,0,0,0,0,0,0,50015,50001,50001,50004,50004,50006
Raiphi Gomez,90492,80006,0,50001,50001,50013,50014,50014,0,0,0,0,0,0,0,0,0
Raj Angad Bawa,90458,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50009
Rajagopal Sathish,90452,80006,0,0,50005,50005,50009,50009,50003,50003,50004,50015,0,0,0,50010,0
Rajat Bhatia,90441,80006,50008,50008,50008,50004,50004,50004,50001,50001,50015,50015,0,0,0,0,0
Rajat Patidar,90477,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,50010,50010
Rajesh Bishnoi,90852,80006,0,50010,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajesh Pawar,90853,80006,50005,50005,50005,50008,0,0,0,0,0,0,0,0,0,0,0
Raju Bhatkal,90481,80006,0,50010,0,50010,50010,0,0,0,0,0,0,0,0,0,0
Rajvardhan Hangargekar,90854,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50003
Ramandeep Singh,90462,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,50003,50005
Ramesh Kumar,90855,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50004
Ramesh Powar,90484,80006,50009,50009,50009,50013,50009,50009,0,0,0,0,0,0,0,0,0
Ramnaresh Sarwan,90487,80020,50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ranadeb Bose,90482,80006,50004,50009,50005,0,0,0,0,0,0,0,0,0,0,0,0
Rangana Herath,90856,80017,0,0,0,0,0,0,0,0,50004,0,0,0,0,0,0
Rangaraj Suthesh,90857,80006,0,50010,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashid Khan,90463,80001,0,0,0,0,0,0,0,0,0,50006,50006,50006,50006,50006,50007
Rasikh Salam Dar,90464,80006,0,0,0,0,0,0,0,0,0,0,0,50005,0,0,50004
Ravi Bishnoi,90442,80006,0,0,0,0,0,0,0,0,0,0,0,0,50009,50009,50011
Ravi Bopara,90488,80004,0,50009,50009,0,0,0,0,50006,0,0,0,0,0,0,0
Ravi Inder Singh,90858,80006,0,0,0,0,0,0,0,50008,0,0,0,0,0,0,0
Ravi Rampaul,90449,80020,0,0,0,0,0,50010,50010,0,0,0,0,0,0,0,0
Ravichandran Ashwin,90440,80006,50003,50003,50003,50003,50003,50003,50003,50003,50015,50015,50009,50009,50008,50008,50001
Ravikant Shukla,90859,80006,0,50009,0,0,0,0,0,0,0,0,0,0,0,0,0
Ravikumar Samarth,90860,80006,0,0,0,0,0,0,0,0,0,0,50010,0,0,50001,50006
Ravindra Jadeja,90459,80006,50001,50001,0,50013,50003,50003,50003,50003,50012,50012,50003,50003,50003,50003,50003
Ravisrinivasan Sai Kishore,90450,80006,0,0,0,0,0,0,0,0,0,0,0,0,50003,50003,50007
Ray Price,90495,80021,0,0,0,50005,0,0,0,0,0,0,0,0,0,0,0
Reece Topley,90861,80004,0,0,0,0,0,0,0,0,50009,0,0,0,0,50001,0
Reetinder Singh Sodhi,90490,80006,0,0,50009,0,0,0,0,0,0,0,0,0,0,0,0
Richard Levi,90468,80016,0,0,0,0,50005,0,0,0,0,0,0,0,0,0,0
Richie Berrington,90862,80014,0,0,0,0,0,0,0,0,50005,0,0,0,0,0,0
Richmond Mutumbami,90863,80021,0,0,0,0,0,0,0,0,50012,0,0,0,0,0,0
Ricky Bhui,90475,80006,0,0,0,0,0,0,50006,50006,50006,50006,50006,50006,0,50003,0
Ricky Ponting,90491,80002,50004,50004,0,0,0,50005,0,0,0,0,0,0,0,0,0
Rilee Rossouw,90486,80016,0,0,0,50010,50010,50010,50010,50010,0,0,0,0,0,0,0
Riley Meredith,90479,80002,0,0,0,0,0,0,0,0,0,0,0,0,0,50009,50005
Rinku Singh,90476,80006,0,0,0,0,0,0,0,0,0,50009,50004,50004,50004,50004,50004
Ripal Patel,90493,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,50008,50008
Rishabh Pant,90483,80006,0,0,0,0,0,0,0,0,50008,50008,50008,50008,50008,50008,50008
Rishi Dhawan,90443,80006,50009,0,0,0,0,50005,50009,50009,50009,50004,0,0,0,0,50009
Riyan Parag,90447,80006,0,0,0,0,0,0,0,0,0,0,0,50001,50001,50001,50001
RK Sabharwal,90864,80006,0,50010,0,0,0,0,0,0,0,0,0,0,0,0,0
Rob Quiney,90474,80002,0,50001,0,0,0,0,0,0,0,0,0,0,0,0,0
Robbie Frylinck,90865,80016,0,0,0,50008,0,0,0,0,0,0,0,0,0,0,0
Robin Bist,90866,80006,0,0,0,50008,50008,50008,0,0,0,0,0,0,0,0,0
Robin Peterson,90473,80016,0,0,0,0,50005,0,0,0,0,0,0,0,0,0,0
Robin Uthappa,90494,80006,50005,50010,50010,50014,50014,50014,50004,50004,50004,50004,50004,50004,50001,50003,50003
Roelof van der Merwe,90469,80016,0,50010,50010,50008,50008,50008,0,0,50015,0,50003,0,0,0,0
Rohan Banerjee,90867,80006,50004,50004,0,0,0,0,0,0,0,0,0,0,0,0,0
Rohan Gavaskar,90489,80006,0,0,50004,0,0,0,0,0,0,0,0,0,0,0,0
Rohan Raje,90485,80006,50005,50005,0,0,0,0,0,0,0,0,0,0,0,0,0
Rohit Sharma,90471,80006,50002,50002,50002,50005,50005,50005,50005,50005,50005,50005,50005,50005,50005,50005,50005
Ronit More,90470,80006,0,0,0,0,0,50003,50003,50003,0,0,0,0,0,0,0
Roosh Kalaria,90868,80006,0,0,0,0,0,0,0,50005,0,0,0,0,50008,50005,50006
Ross Taylor,90316,80011,50010,50010,50010,50001,50008,50014,50008,0,0,0,0,0,50009,50009,0
Rovman Powell,90448,80020,0,0,0,0,0,0,0,0,0,50004,0,0,0,0,0
Royston Dias,90869,80006,0,0,0,0,0,50008,0,0,0,0,0,0,0,0,0
Rusty Theron,90230,80016,0,50009,50009,50002,50002,0,0,50001,0,0,0,0,0,0,0
Ruturaj Gaikwad,90467,80006,0,0,0,0,0,0,0,0,0,0,0,50003,50003,50003,50003
Ryan Harris,90472,80002,0,50002,50002,50009,50009,50009,0,0,0,0,0,0,0,0,0
Ryan McLaren,90445,80016,0,50005,50005,50009,0,50004,0,0,0,0,0,0,0,0,0
Ryan Ninan,90446,80006,0,50009,0,50010,50010,0,0,0,0,0,0,0,0,0,0
Ryan ten Doeschate,90478,80010,0,0,0,50004,50004,50004,50004,50004,0,0,0,0,0,0,0
S. Thiagarajan,90870,80006,0,0,0,0,50010,0,0,0,0,0,0,0,0,0,0
Sabbir Rahman,90871,80003,0,0,0,0,0,0,0,0,50012,0,0,0,0,0,0
Sachin Baby,90522,80006,0,0,0,0,0,50001,0,0,0,50010,50006,0,0,50010,0
Sachin Rana,90511,80006,0,50004,0,50014,50014,50006,50010,0,0,0,0,0,0,0,0
Sachin Tendulkar,90568,80006,50005,50005,50005,50005,50005,50005,0,0,0,0,0,0,0,0,0
Sachithra Senanayake,90558,80017,0,0,0,0,0,50004,0,0,0,0,0,0,0,0,0
Safyaan Sharif,90872,80014,0,0,0,0,0,0,0,0,50006,0,0,0,0,0,0
Sagar Trivedi,90873,80006,0,0,0,0,0,0,0,50001,0,0,0,0,0,0,0
Sahil Kukreja,90874,80006,50009,50009,0,0,0,0,0,0,0,0,0,0,0,0,0
Sakibul Gani,90875,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50011
Salman Butt,90523,80013,50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Billings,90583,80004,0,0,0,0,0,0,0,0,50008,50008,50003,50003,0,50008,50004
Sam Curran,90554,80004,0,0,0,0,0,0,0,0,0,0,0,50009,50003,50003,0
Samad Fallah,90876,80006,0,0,0,50001,50001,50001,0,50004,0,0,0,0,0,0,0
Samiullah Shinwari,90877,80001,0,0,0,0,0,0,0,0,50004,0,0,0,0,0,0
Samuel Badree,90498,80020,0,0,0,0,50001,50001,50003,50003,50010,50010,0,0,0,0,0
Sanath Jayasuriya,90578,80017,50005,50005,50005,0,0,0,0,0,0,0,0,0,0,0,0
Sandeep Lamichhane,90507,80009,0,0,0,0,0,0,0,0,0,0,50008,50008,50008,50006,50006
Sandeep Sharma,90524,80006,0,0,0,0,50004,50009,50009,50009,50009,50009,50006,50006,50006,50006,50009
Sandeep Warrier,90513,80006,0,0,0,0,0,50010,50010,50010,0,0,0,50004,50004,50004,50009
Sanjay Bangar,90525,80006,50002,50004,50004,0,0,0,0,0,0,0,0,0,0,0,0
Sanjay Yadav,90451,80006,0,0,0,0,0,0,0,0,0,50004,0,0,50006,50001,50005
Sanju Samson,90582,80006,0,0,0,0,50004,50001,50001,50001,50008,50008,50001,50001,50001,50001,50001
Santosh Yadav,90878,80006,0,0,0,50005,0,0,0,0,0,0,0,0,0,0,0
Sarabjit Ladda,90506,80006,0,0,50008,50004,50004,50004,50009,50009,50012,0,0,0,0,0,0
Sarandeep Singh,90879,80006,0,0,50008,0,0,0,0,0,0,0,0,0,0,0,0
Sarfaraz Khan,90559,80006,0,0,0,0,0,0,0,50010,50010,50010,50010,50009,50009,50009,50008
Sarul Kanwar,90880,80006,0,0,0,50005,0,0,0,0,0,0,0,0,0,0,0
Saurabh Bandekar,90881,80006,0,50010,0,0,0,0,0,0,0,0,0,0,0,0,0
Saurabh Dubey,90882,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50006
Saurabh Kumar,90883,80006,0,0,0,0,0,0,0,0,0,50015,0,0,0,50009,50001
Saurabh Tiwary,90577,80006,50005,50005,50005,50010,50010,50010,50008,50008,50015,50005,50005,0,50005,50005,50009
Saurasish Lahiri,90884,80006,50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sayan Ghosh,90885,80006,0,0,0,0,0,0,0,0,0,50004,50008,0,0,0,0
Sayan Mondal,90886,80006,0,0,0,0,0,0,50004,0,0,0,0,0,0,0,0
Scott Boland,90553,80002,0,0,0,0,0,0,0,0,50015,0,0,0,0,0,0
Scott Kuggeleijn,90531,80011,0,0,0,0,0,0,0,0,0,0,0,50003,0,0,0
Scott Styris,90528,80011,50002,50002,50002,50003,50003,0,0,0,0,0,0,0,0,0,0
Sean Abbott,90519,80002,0,0,0,0,0,0,0,50010,0,0,0,0,0,50009,50006
Sean Williams,90887,80021,0,0,0,0,0,0,0,0,50006,50005,0,0,0,0,0
Selvam Suresh Kumar,90888,80006,50003,50003,0,0,0,0,0,0,0,0,0,0,0,0,0
Shadab Jakati,90526,80006,50003,50003,50003,50003,50003,50003,50010,0,50012,50012,0,0,0,0,0
Shahbaz Ahmed,90537,80006,0,0,0,0,0,0,0,0,0,0,0,0,50010,50010,50010
Shahbaz Nadeem,90509,80006,0,0,0,50008,50008,50008,50008,50008,50008,50008,50008,50006,50006,50006,50011
Shahid Afridi,90538,80013,50002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shahrukh Khan,90332,80006,0,0,0,0,0,0,0,0,0,0,0,0,50010,50009,50009
Shakib Al Hasan,90539,80003,0,0,0,50004,50004,50004,50004,50004,50004,50004,50006,50006,0,50004,0
Shalabh Srivastava,90548,80006,0,0,50009,50009,50009,0,0,0,0,0,0,0,0,0,0
Shams Mulani,90889,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,50008,50005
Shane Bond,90534,80011,0,0,50004,0,0,0,0,0,0,0,0,0,0,0,0
Shane Warne,90551,80002,50001,50001,50001,50001,0,0,0,0,0,0,0,0,0,0,0
Shapoor Zadran,90890,80001,0,0,0,0,0,0,0,0,0,50004,0,0,0,0,0
Sharad Lumba,90891,80006,0,0,0,0,0,0,0,0,0,0,50005,0,0,0,0
Shardul Thakur,90560,80006,0,0,0,0,0,0,50009,50009,50009,50015,50003,50003,50003,50003,50008
Shashank Singh,90540,80006,0,0,0,0,0,0,0,0,0,50008,0,50001,50001,0,50006
Shashi Ranjan,90892,80006,0,0,50008,0,0,0,0,0,0,0,0,0,0,0,0
Shaun Marsh,90535,80002,50009,50009,50009,50009,50009,50009,50009,50009,50009,50009,0,0,0,50003,0
Shaun Pollock,90557,80016,50005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shaun Tait,90584,80002,0,50001,50001,50001,50001,50001,0,0,50004,0,0,0,0,0,0
Sheldon Cottrell,90571,80020,0,0,0,0,0,0,0,0,0,0,0,0,50009,0,0
Sheldon Jackson,90565,80006,0,0,0,0,0,50010,0,50004,50004,50004,0,0,0,50004,50004
Shelley Shaurya,90893,80006,0,0,0,0,0,0,0,0,0,50012,0,0,0,0,0
Sherfane Rutherford,90536,80020,0,0,0,0,0,0,0,0,0,0,0,50008,50005,50006,50010
Shikhar Dhawan,90501,80006,50008,50005,50005,50002,50002,50006,50006,50006,50006,50006,50006,50008,50008,50008,50009
Shimron Hetmyer,90561,80020,0,0,0,0,0,0,0,0,0,0,0,50010,50008,50008,50001
Shishir Bhavane,90894,80006,0,0,0,0,0,0,0,50010,0,0,0,0,0,0,0
Shivam Dube,90502,80006,0,0,0,0,0,0,0,0,0,0,0,50010,50010,50001,50003
Shivam Mavi,90541,80006,0,0,0,0,0,0,0,0,0,0,50004,50004,50004,50004,50004
Shivam Sharma,90542,80006,0,0,0,0,0,0,50009,50009,0,0,0,0,0,0,0
Shivil Kaushik,90505,80006,0,0,0,0,0,0,0,0,50012,50012,0,0,0,0,0
Shivnarine Chanderpaul,90500,80020,50010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shoaib Ahmed,90543,80006,0,50002,0,0,0,0,0,0,0,0,0,0,0,0,0
Shoaib Akhtar,90544,80013,50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shoaib Malik,90545,80013,50008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shoaib Shaikh,90576,80006,0,50004,0,0,0,0,0,0,0,0,0,0,0,0,0
Shreevats Goswami,90564,80006,50010,50010,50010,50004,50001,50001,0,0,0,0,50006,50006,50006,50006,0
Shreyas Gopal,90503,80006,0,0,0,0,0,0,50005,50005,50005,50005,50001,50001,50001,50001,50006
Shreyas Iyer,90572,80006,0,0,0,0,0,0,0,50008,50008,50008,50008,50008,50008,50008,50004
Shrideep Mangela,90895,80006,0,50001,0,0,0,0,0,0,0,0,0,0,0,0,0
Shrikant Mundhe,90573,80006,0,0,0,50014,0,0,0,0,0,0,0,50004,0,0,0
Shrikant Wagh,90529,80006,0,0,50001,50014,50014,50014,0,0,0,0,0,0,0,0,0
Shubham Agarwal,90570,80006,0,0,0,0,0,0,0,0,0,50012,0,0,0,0,0
Shubham Garhwal,90896,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50001
Shubham Ranjane,90897,80006,0,0,0,0,0,0,0,0,0,0,0,50001,0,,0
Shubham Sharma,90898,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50006
Shubman Gill,90546,80006,0,0,0,0,0,0,0,0,0,0,50004,50004,50004,50004,50007
Siddarth Kaul,90504,80006,50004,50004,0,0,0,50008,50008,50006,50006,50006,50006,50006,50006,50006,50010
Siddharth Chitnis,90532,80006,50005,50001,0,50009,50009,50009,0,0,0,0,0,0,0,0,0
Siddharth Trivedi,90550,80006,50001,50001,50001,50001,50001,50001,0,0,0,0,0,0,0,0,0
Siddhesh Lad,90533,80006,0,0,0,0,0,0,0,50005,50005,50005,50005,50005,50004,50001,0
Sikandar Raza,90899,80021,0,0,0,0,0,0,0,0,50009,0,0,0,0,0,0
Simarjeet Singh,90547,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,50005,50003
Simon Katich,90556,80002,50009,50009,50009,0,0,0,0,0,0,0,0,0,0,0,0
Smit Patel,90900,80006,0,0,0,0,0,0,0,0,0,0,50009,0,0,0,0
Sneha Kishore,90901,80006,0,0,0,0,50002,0,0,0,0,0,0,0,0,0,0
Sohail Tanvir,90562,80013,50001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sourav Ganguly,90530,80006,50004,50004,50004,50014,50014,0,0,0,0,0,0,0,0,0,0
Sreenath Aravind,90497,80006,0,50010,0,50010,50010,50010,0,50010,50010,50010,0,0,0,0,0
Sreesanth,90515,80006,50009,50009,50009,50013,50001,50001,0,0,0,0,0,0,0,50003,0
Sridharan Sriram,90516,80006,0,0,50010,50008,0,0,0,0,0,0,0,0,0,0,0
Srikar Bharat,90296,80006,0,0,0,0,0,0,0,50008,0,0,0,50009,0,50010,50008
Stephen Fleming,90563,80011,50003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Myburgh,90902,80010,0,0,0,0,0,0,0,0,50009,0,0,0,0,0,0
Steve O'Keefe,90903,80002,0,0,0,50013,0,0,0,0,0,0,0,0,0,0,0
Steve Smith,90567,80002,0,0,50010,50013,50014,50014,50001,50001,50015,50015,50001,50001,50001,50008,50006
Stuart Binny,90579,80006,0,0,50005,50001,50001,50001,50001,50001,50010,50010,50001,50001,0,0,0
Stuart Broad,90904,80004,0,0,0,50009,50009,0,0,0,0,0,0,0,0,0,0
Subhranshu Senapati,90905,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50003
Subramaniam Badrinath,90499,80006,50003,50003,50003,50003,50003,50003,0,50010,0,0,0,0,0,0,0
Sudeep Tyagi,90517,80006,50003,50003,50003,50003,50003,50006,0,0,0,0,0,0,0,0,0
Sudhesan Midhun,90508,80006,0,0,0,0,0,0,0,0,0,0,50001,50001,0,50003,0
Sujit Nayak,90906,80006,0,0,0,0,50005,50008,0,50009,0,0,0,0,50001,50001,0
Sultan Ahmed,90907,80012,0,0,0,0,0,0,0,0,0,50004,0,0,0,0,0
Sumit Khatri,90908,80006,50001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sumit Narwal,90510,80006,50008,50008,50008,50001,50001,50004,0,50004,0,0,0,0,0,0,0
Sunil Joshi,90527,80006,50010,50010,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunil Narine,90566,80020,0,0,0,0,50004,50004,50004,50004,50004,50004,50004,50004,50004,50004,50004
Sunny Gupta,90580,80006,0,0,0,0,50008,50008,0,0,0,0,0,0,0,0,0
Sunny Singh,90581,80006,0,0,0,50009,50009,50009,0,0,0,0,0,0,0,0,0
Sunny Sohal,90514,80006,50009,50009,0,50002,50002,50010,0,0,0,0,0,0,0,0,0
Suraj Randiv,90512,80017,0,0,0,50003,50003,50009,0,0,0,0,0,0,0,0,0
Suresh Raina,90549,80006,50003,50003,50003,50003,50003,50003,50003,50003,50012,50012,50003,50003,50003,50003,0
Suryakumar Yadav,90521,80006,0,0,0,50005,50005,50005,50004,50004,50004,50004,50005,50005,50005,50005,50005
Sushant Marathe,90909,80006,0,0,0,50013,50005,50005,50005,0,0,0,0,0,0,0,0
Sushant Mishra,90910,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50006
Suyash Prabhudessai,90574,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,50010,50010
Swapnil Asnodkar,90520,80006,50001,50001,50001,50001,0,0,0,0,0,0,0,0,0,0,0
Swapnil Singh,90585,80006,50005,0,0,0,0,0,0,0,50009,50009,0,0,0,0,0
Syed Mohammed,90229,80006,0,0,0,50010,50010,50010,0,0,0,0,0,0,0,0,0
Syed Quadri,90911,80006,0,0,50001,0,50002,0,0,0,0,0,0,0,0,0,0
Syed Shahabuddin,90912,80006,0,0,50005,0,0,0,0,0,0,0,0,0,0,0,0
T Natarajan,90589,80006,0,0,0,0,0,0,0,0,0,50009,50006,50006,50006,50006,50006
Tabraiz Shamsi,90590,80016,0,0,0,0,0,0,0,0,50010,50010,0,0,0,50001,0
Tajinder Singh,90913,80006,0,0,0,0,0,0,0,0,0,0,50005,0,50009,50001,0
Tamim Iqbal,90914,80003,0,0,0,0,50014,50014,0,0,0,0,0,0,0,0,0
Tanmay Agarwal,90915,80006,0,0,0,0,0,0,0,0,0,50006,0,0,0,50001,50005
Tanmay Mishra,90916,80008,0,0,0,0,50002,0,50010,0,0,0,0,0,0,0,0
Tanmay Srivastava,90605,80006,50009,50009,50009,50013,50002,0,0,0,0,0,0,0,0,0,0
Tanwir Afzal,90917,80005,0,0,0,0,0,0,0,0,50015,0,0,0,0,0,0
Taruwar Kohli,90588,80006,50001,50009,50009,0,0,0,0,0,0,0,0,0,0,0,0
Tatenda Taibu,90592,80021,50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tejas Baroka,90596,80006,0,0,0,0,0,0,0,0,0,50012,0,0,0,50008,50001
Tejashwi Yadav,90918,80006,50008,50008,0,50008,50008,0,0,0,0,0,0,0,0,0,0
Tekkami Atchuta Rao,90919,80006,0,0,0,0,50002,0,0,0,0,0,0,0,0,0,0
Tendai Chatara,90920,80021,0,0,0,0,0,0,0,0,50008,0,0,0,0,0,0
Thalaivan Sargunam,90638,80006,0,0,0,0,0,50006,0,0,0,0,0,0,0,0,0
Thilan Thushara,90593,80017,0,50003,50003,0,0,0,0,0,0,0,0,0,0,0,0
Thisara Perera,90396,80017,0,0,50003,50013,50005,50006,50009,50009,50015,0,0,0,0,50001,0
Tilak Varma,90599,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50005
Tillakaratne Dilshan,90603,80017,50008,50008,50008,50010,50010,50010,0,0,0,0,0,0,0,0,0
Tim David,90598,80015,0,0,0,0,0,0,0,0,0,0,0,0,0,50010,50005
Tim Murtagh,90921,80007,0,0,0,0,0,0,0,0,50005,0,0,0,0,0,0
Tim Paine,90595,80002,0,0,0,50014,0,0,0,0,0,0,0,0,0,0,0
Tim Southee,90597,80011,0,0,0,50003,0,0,50001,50001,50005,50005,50010,50010,0,50004,50004
