Match_ID,Match_City,Match_City_ID,Match_Date,Season,Season_ID,MatchNumber,Team1,Team1_ID,Team2,Team2_ID,Stadium_Name,Stadium_ID,TossWinner,Toss_Winner_ID,TossDecision,SuperOver,WinningTeam,Winner_Team_ID,WonBy,Margin,DL_used,MOM,MOM_ID,Umpire1,Ump1_ID,Umpire2,Ump2_ID
1178403,Chandigarh,10007,4/13/2019,2019,30012,28,Punjab Kings,50009,Royal Challengers Bangalore,50010,Punjab Cricket Association IS Bindra Stadium,20023,Royal Challengers Bangalore,50010,field,N,Royal Challengers Bangalore,50010,Wickets,8,No,AB de Villiers,90028,S Ravi,60019,UV Gandhe,60025
1178401,Kolkata,10022,4/12/2019,2019,30012,26,Kolkata Knight Riders,50004,Delhi Capitals,50008,Eden Gardens,20008,Delhi Capitals,50008,field,N,Delhi Capitals,50008,Wickets,7,No,S Dhawan,90501,CK Nandan,60031,YC Barde,60024
1178400,Jaipur,10017,4/11/2019,2019,30012,25,Rajasthan Royals,50001,Chennai Super Kings,50003,Sawai Mansingh Stadium,20026,Chennai Super Kings,50003,field,N,Chennai Super Kings,50003,Wickets,4,No,MS Dhoni,90378,BNJ Oxenford,60003,UV Gandhe,60025
1178399,Mumbai,10023,4/10/2019,2019,30012,24,Punjab Kings,50009,Mumbai Indians,50005,Wankhede Stadium,20034,Mumbai Indians,50005,field,N,Mumbai Indians,50005,Wickets,3,No,KA Pollard,90272,S Ravi,60019,YC Barde,60024
1178398,Chennai,10008,4/9/2019,2019,30012,23,Kolkata Knight Riders,50004,Chennai Super Kings,50003,MA Chidambaram Stadium,20016,Chennai Super Kings,50003,field,N,Chennai Super Kings,50003,Wickets,7,No,DL Chahar,90161,C Shamshuddin,60022,RJ Tucker,60016
1178397,Chandigarh,10007,4/8/2019,2019,30012,22,Sunrisers Hyderabad,50006,Punjab Kings,50009,Punjab Cricket Association IS Bindra Stadium,20023,Punjab Kings,50009,field,N,Punjab Kings,50009,Wickets,6,No,KL Rahul,90288,AY Dandekar,60020,M Erasmus,60015
1178396,Jaipur,10017,4/7/2019,2019,30012,21,Rajasthan Royals,50001,Kolkata Knight Riders,50004,Sawai Mansingh Stadium,20026,Kolkata Knight Riders,50004,field,N,Kolkata Knight Riders,50004,Wickets,8,No,HF Gurney,90209,AK Chaudhary,60004,CB Gaffaney,60001
1178395,Bengaluru,10003,4/7/2019,2019,30012,20,Royal Challengers Bangalore,50010,Delhi Capitals,50008,M Chinnaswamy Stadium,20015,Delhi Capitals,50008,field,N,Delhi Capitals,50008,Wickets,4,No,K Rabada,90267,S Ravi,60019,YC Barde,60024
1178394,Hyderabad,10015,4/6/2019,2019,30012,19,Mumbai Indians,50005,Sunrisers Hyderabad,50006,Rajiv Gandhi International Stadium,20024,Sunrisers Hyderabad,50006,field,N,Mumbai Indians,50005,Runs,40,No,AS Joseph,90072,AY Dandekar,60020,Nitin Menon,60005
1178393,Chennai,10008,4/6/2019,2019,30012,18,Chennai Super Kings,50003,Punjab Kings,50009,MA Chidambaram Stadium,20016,Chennai Super Kings,50003,bat,N,Chennai Super Kings,50003,Runs,22,No,Harbhajan Singh,90203,KN Ananthapadmanabhan,60006,RJ Tucker,60016
1175372,Bengaluru,10003,4/5/2019,2019,30012,17,Royal Challengers Bangalore,50010,Kolkata Knight Riders,50004,M Chinnaswamy Stadium,20015,Kolkata Knight Riders,50004,field,N,Kolkata Knight Riders,50004,Wickets,5,No,AD Russell,90042,AK Chaudhary,60004,CB Gaffaney,60001
1175371,Delhi,10010,4/4/2019,2019,30012,16,Delhi Capitals,50008,Sunrisers Hyderabad,50006,Feroz Shah Kotla,20009,Sunrisers Hyderabad,50006,field,N,Sunrisers Hyderabad,50006,Wickets,5,No,JM Bairstow,90250,C Shamshuddin,60022,KN Ananthapadmanabhan,60006
1175370,Mumbai,10023,4/3/2019,2019,30012,15,Mumbai Indians,50005,Chennai Super Kings,50003,Wankhede Stadium,20034,Chennai Super Kings,50003,field,N,Mumbai Indians,50005,Runs,37,No,HH Pandya,90211,BNJ Oxenford,60003,RJ Tucker,60016
1175369,Jaipur,10017,4/2/2019,2019,30012,14,Royal Challengers Bangalore,50010,Rajasthan Royals,50001,Sawai Mansingh Stadium,20026,Rajasthan Royals,50001,field,N,Rajasthan Royals,50001,Wickets,7,No,S Gopal,90503,AY Dandekar,60020,M Erasmus,60015
1175368,Chandigarh,10007,4/1/2019,2019,30012,13,Punjab Kings,50009,Delhi Capitals,50008,Punjab Cricket Association IS Bindra Stadium,20023,Delhi Capitals,50008,field,N,Punjab Kings,50009,Runs,14,No,SM Curran,90554,AK Chaudhary,60004,CB Gaffaney,60001
1175366,Hyderabad,10015,3/31/2019,2019,30012,11,Sunrisers Hyderabad,50006,Royal Challengers Bangalore,50010,Rajiv Gandhi International Stadium,20024,Royal Challengers Bangalore,50010,field,N,Sunrisers Hyderabad,50006,Runs,118,No,JM Bairstow,90250,KN Ananthapadmanabhan,60006,S Ravi,60019
1175367,Chennai,10008,3/31/2019,2019,30012,12,Chennai Super Kings,50003,Rajasthan Royals,50001,MA Chidambaram Stadium,20016,Rajasthan Royals,50001,field,N,Chennai Super Kings,50003,Runs,8,No,MS Dhoni,90378,CK Nandan,60031,YC Barde,60024
1175365,Delhi,10010,3/30/2019,2019,30012,10,Kolkata Knight Riders,50004,Delhi Capitals,50008,Feroz Shah Kotla,20009,Delhi Capitals,50008,field,Y,Delhi Capitals,50008,SuperOver,0,No,PP Shaw,90433,AY Dandekar,60020,Nitin Menon,60005
1175364,Chandigarh,10007,3/30/2019,2019,30012,9,Mumbai Indians,50005,Punjab Kings,50009,Punjab Cricket Association IS Bindra Stadium,20023,Punjab Kings,50009,field,N,Punjab Kings,50009,Wickets,8,No,MA Agarwal,90336,CB Gaffaney,60001,VA Kulkarni,60027
1175363,Hyderabad,10015,3/29/2019,2019,30012,8,Rajasthan Royals,50001,Sunrisers Hyderabad,50006,Rajiv Gandhi International Stadium,20024,Rajasthan Royals,50001,bat,N,Sunrisers Hyderabad,50006,Wickets,5,No,Rashid Khan,90463,BNJ Oxenford,60003,C Shamshuddin,60022
1175362,Bengaluru,10003,3/28/2019,2019,30012,7,Mumbai Indians,50005,Royal Challengers Bangalore,50010,M Chinnaswamy Stadium,20015,Royal Challengers Bangalore,50010,field,N,Mumbai Indians,50005,Runs,6,No,JJ Bumrah,90245,CK Nandan,60031,S Ravi,60019
1175361,Kolkata,10022,3/27/2019,2019,30012,6,Kolkata Knight Riders,50004,Punjab Kings,50009,Eden Gardens,20008,Punjab Kings,50009,field,N,Kolkata Knight Riders,50004,Runs,28,No,AD Russell,90042,AK Chaudhary,60004,VA Kulkarni,60027
1175360,Delhi,10010,3/26/2019,2019,30012,5,Delhi Capitals,50008,Chennai Super Kings,50003,Feroz Shah Kotla,20009,Delhi Capitals,50008,bat,N,Chennai Super Kings,50003,Wickets,6,No,SR Watson,90569,M Erasmus,60015,Nitin Menon,60005
