Match_ID,T1P1,T1P2,T1P3,T1P4,T1P5,T1P6,T1P7,T1P8,T1P9,T1P10,T1P11,T2P1,T2P2,T2P3,T2P4,T2P5,T2P6,T2P7,T2P8,T2P9,T2P10,T2P11,T1P1_ID,T1P2_ID,T1P3_ID,T1P4_ID,T1P5_ID,T1P6_ID,T1P7_ID,T1P8_ID,T1P9_ID,T1P10_ID,T1P11_ID,T2P1_ID,T2P2_ID,T2P3_ID,T2P4_ID,T2P5_ID,T2P6_ID,T2P7_ID,T2P8_ID,T2P9_ID,T2P10_ID,T2P11_ID
1082645,AM Rahane,RA Tripathi,SPD Smith,BA Stokes,MK Tiwary,MS Dhoni,DT Christian,Washington Sundar,SN Thakur,JD Unadkat,A Zampa,MJ Guptill,WP Saha,SE Marsh,EJG Morgan,R Tewatia,GJ Maxwell,AR Patel,Swapnil Singh,MM Sharma,I Sharma,Sandeep Sharma,90054,90461,90567,90094,90360,90378,90175,90634,90560,90239,90020,90353,90636,90535,90179,90456,90197,90070,90585,90364,90216,90524
1082644,SP Narine,CA Lynn,G Gambhir,RV Uthappa,MK Pandey,YK Pathan,C de Grandhomme,Kuldeep Yadav,UT Yadav,TA Boult,AS Rajpoot,SS Tiwary,LMP Simmons,RG Sharma,AT Rayudu,KA Pollard,HH Pandya,KH Pandya,KV Sharma,MG Johnson,R Vinay Kumar,TG Southee,90566,90116,90187,90494,90359,90647,90109,90299,90616,90594,90073,90577,90313,90471,90078,90272,90211,90282,90300,90349,90457,90597
1082643,DR Smith,Ishan Kishan,SK Raina,KD Karthik,AJ Finch,RA Jadeja,JP Faulkner,PJ Sangwan,Ankit Soni,P Kumar,MM Patel,DA Warner,S Dhawan,MC Henriques,V Shankar,DJ Hooda,Mohammad Nabi,NV Ojha,B Kumar,Rashid Khan,S Kaul,Mohammed Siraj,90172,90225,90549,90281,90046,90459,90257,90427,90062,90410,90363,90142,90501,90343,90620,90151,90370,90400,90087,90463,90504,90372
1082642,SV Samson,KK Nair,SS Iyer,RR Pant,MN Samuels,CJ Anderson,PJ Cummins,A Mishra,Mohammed Shami,S Nadeem,Z Khan,AM Rahane,RA Tripathi,SPD Smith,MK Tiwary,BA Stokes,MS Dhoni,DT Christian,Washington Sundar,SN Thakur,JD Unadkat,A Zampa,90582,90286,90572,90483,90365,90120,90426,90010,90371,90509,90652,90054,90461,90567,90360,90094,90378,90175,90634,90560,90239,90020
1082641,LMP Simmons,PA Patel,N Rana,RG Sharma,KA Pollard,HH Pandya,KV Sharma,Harbhajan Singh,MJ McClenaghan,JJ Bumrah,SL Malinga,MJ Guptill,WP Saha,GJ Maxwell,SE Marsh,AR Patel,M Vohra,R Tewatia,MM Sharma,Sandeep Sharma,I Sharma,MJ Henry,90313,90418,90387,90471,90272,90211,90300,90203,90356,90245,90552,90353,90636,90197,90535,90070,90335,90456,90364,90524,90216,90354
1082640,DR Smith,Ishan Kishan,SK Raina,KD Karthik,AJ Finch,RA Jadeja,JP Faulkner,DS Kulkarni,PJ Sangwan,Basil Thampi,Ankit Soni,SV Samson,KK Nair,RR Pant,SS Iyer,MN Samuels,CJ Anderson,CR Brathwaite,PJ Cummins,Mohammed Shami,A Mishra,Z Khan,90172,90225,90549,90281,90046,90459,90257,90173,90427,90095,90062,90582,90286,90483,90572,90365,90120,90130,90426,90371,90010,90652
1082639,MJ Guptill,M Vohra,SE Marsh,WP Saha,GJ Maxwell,AR Patel,Swapnil Singh,R Tewatia,MJ Henry,MM Sharma,Sandeep Sharma,SP Narine,CA Lynn,G Gambhir,RV Uthappa,MK Pandey,C de Grandhomme,YK Pathan,CR Woakes,UT Yadav,Kuldeep Yadav,AS Rajpoot,90353,90335,90535,90636,90197,90070,90585,90456,90354,90364,90524,90566,90116,90187,90494,90359,90109,90647,90131,90616,90299,90073
1082638,DA Warner,S Dhawan,MC Henriques,Yuvraj Singh,V Shankar,Mohammad Nabi,NV Ojha,B Kumar,Rashid Khan,S Kaul,Mohammed Siraj,LMP Simmons,PA Patel,N Rana,RG Sharma,HH Pandya,KA Pollard,KV Sharma,Harbhajan Singh,MJ McClenaghan,JJ Bumrah,SL Malinga,90142,90501,90343,90650,90620,90370,90400,90087,90463,90504,90372,90313,90418,90387,90471,90211,90272,90300,90203,90356,90245,90552
1082636,CH Gayle,Mandeep Singh,V Kohli,AB de Villiers,TM Head,KM Jadhav,P Negi,S Aravind,S Badree,A Choudhary,YS Chahal,CA Lynn,SP Narine,C de Grandhomme,G Gambhir,MK Pandey,YK Pathan,SP Jackson,CR Woakes,UT Yadav,PP Chawla,AS Rajpoot,90118,90340,90617,90028,90604,90290,90411,90497,90498,90005,90649,90116,90566,90109,90187,90359,90647,90565,90131,90616,90431,90073
1082637,MJ Guptill,HM Amla,SE Marsh,GJ Maxwell,AR Patel,WP Saha,Gurkeerat Singh,MM Sharma,Sandeep Sharma,VR Aaron,T Natarajan,DR Smith,Ishan Kishan,SK Raina,KD Karthik,AJ Finch,RA Jadeja,JP Faulkner,DS Kulkarni,PJ Sangwan,Basil Thampi,Ankit Soni,90353,90212,90535,90197,90070,90636,90200,90364,90524,90625,90589,90172,90225,90549,90281,90046,90459,90257,90173,90427,90095,90062
